"date","time","date_timestamp","power_actuals"
"2019-07-01",,"2019-07-01 00:00:00","949.98"
"2019-07-01",,"2019-07-01 01:00:00","890.95"
"2019-07-01",,"2019-07-01 02:00:00","1071.79"
"2019-07-01",,"2019-07-01 03:00:00","810.95"
"2019-07-01",,"2019-07-01 04:00:00","636.01"
"2019-07-01",,"2019-07-01 05:00:00","809.99"
"2019-07-01",,"2019-07-01 06:00:00","844.48"
"2019-07-01",,"2019-07-01 07:00:00","710.37"
"2019-07-01",,"2019-07-01 08:00:00","646.07"
"2019-07-01",,"2019-07-01 09:00:00","587.90"
"2019-07-01",,"2019-07-01 10:00:00","614.82"
"2019-07-01",,"2019-07-01 11:00:00","646.21"
"2019-07-01",,"2019-07-01 12:00:00","638.53"
"2019-07-01",,"2019-07-01 13:00:00","693.99"
"2019-07-01",,"2019-07-01 14:00:00","661.88"
"2019-07-01",,"2019-07-01 15:00:00","500.83"
"2019-07-01",,"2019-07-01 16:00:00","445.72"
"2019-07-01",,"2019-07-01 17:00:00","530.57"
"2019-07-01",,"2019-07-01 18:00:00","505.76"
"2019-07-01",,"2019-07-01 19:00:00","499.88"
"2019-07-01",,"2019-07-01 20:00:00","523.88"
"2019-07-01",,"2019-07-01 21:00:00","439.59"
"2019-07-01",,"2019-07-01 22:00:00","329.67"
"2019-07-01",,"2019-07-01 23:00:00","255.98"
"2019-07-02",,"2019-07-02 00:00:00","271.52"
"2019-07-02",,"2019-07-02 01:00:00","341.59"
"2019-07-02",,"2019-07-02 02:00:00","435.00"
"2019-07-02",,"2019-07-02 03:00:00","549.37"
"2019-07-02",,"2019-07-02 04:00:00","465.52"
"2019-07-02",,"2019-07-02 05:00:00","353.21"
"2019-07-02",,"2019-07-02 06:00:00","224.65"
"2019-07-02",,"2019-07-02 07:00:00","195.53"
"2019-07-02",,"2019-07-02 08:00:00","85.93"
"2019-07-02",,"2019-07-02 09:00:00","64.89"
"2019-07-02",,"2019-07-02 10:00:00","59.23"
"2019-07-02",,"2019-07-02 11:00:00","58.74"
"2019-07-02",,"2019-07-02 12:00:00","46.49"
"2019-07-02",,"2019-07-02 13:00:00","53.07"
"2019-07-02",,"2019-07-02 14:00:00","93.00"
"2019-07-02",,"2019-07-02 15:00:00","153.13"
"2019-07-02",,"2019-07-02 16:00:00","191.12"
"2019-07-02",,"2019-07-02 17:00:00","251.40"
"2019-07-02",,"2019-07-02 18:00:00","387.44"
"2019-07-02",,"2019-07-02 19:00:00","517.80"
"2019-07-02",,"2019-07-02 20:00:00","611.76"
"2019-07-02",,"2019-07-02 21:00:00","518.82"
"2019-07-02",,"2019-07-02 22:00:00","635.41"
"2019-07-02",,"2019-07-02 23:00:00","719.01"
"2019-07-03",,"2019-07-03 00:00:00","672.95"
"2019-07-03",,"2019-07-03 01:00:00","555.43"
"2019-07-03",,"2019-07-03 02:00:00","412.09"
"2019-07-03",,"2019-07-03 03:00:00","386.96"
"2019-07-03",,"2019-07-03 04:00:00","386.30"
"2019-07-03",,"2019-07-03 05:00:00","411.61"
"2019-07-03",,"2019-07-03 06:00:00","455.16"
"2019-07-03",,"2019-07-03 07:00:00","449.60"
"2019-07-03",,"2019-07-03 08:00:00","344.07"
"2019-07-03",,"2019-07-03 09:00:00","391.96"
"2019-07-03",,"2019-07-03 10:00:00","349.46"
"2019-07-03",,"2019-07-03 11:00:00","349.00"
"2019-07-03",,"2019-07-03 12:00:00","401.91"
"2019-07-03",,"2019-07-03 13:00:00","548.34"
"2019-07-03",,"2019-07-03 14:00:00","591.29"
"2019-07-03",,"2019-07-03 15:00:00","668.77"
"2019-07-03",,"2019-07-03 16:00:00","784.43"
"2019-07-03",,"2019-07-03 17:00:00","862.39"
"2019-07-03",,"2019-07-03 18:00:00","986.82"
"2019-07-03",,"2019-07-03 19:00:00","1015.64"
"2019-07-03",,"2019-07-03 20:00:00","1067.43"
"2019-07-03",,"2019-07-03 21:00:00","1034.06"
"2019-07-03",,"2019-07-03 22:00:00","1114.27"
"2019-07-03",,"2019-07-03 23:00:00","981.60"
"2019-07-04",,"2019-07-04 00:00:00","856.02"
"2019-07-04",,"2019-07-04 01:00:00","736.21"
"2019-07-04",,"2019-07-04 02:00:00","509.98"
"2019-07-04",,"2019-07-04 03:00:00","532.80"
"2019-07-04",,"2019-07-04 04:00:00","549.07"
"2019-07-04",,"2019-07-04 05:00:00","490.31"
"2019-07-04",,"2019-07-04 06:00:00","430.34"
"2019-07-04",,"2019-07-04 07:00:00","328.76"
"2019-07-04",,"2019-07-04 08:00:00","181.75"
"2019-07-04",,"2019-07-04 09:00:00","86.22"
"2019-07-04",,"2019-07-04 10:00:00","75.54"
"2019-07-04",,"2019-07-04 11:00:00","76.82"
"2019-07-04",,"2019-07-04 12:00:00","61.02"
"2019-07-04",,"2019-07-04 13:00:00","66.77"
"2019-07-04",,"2019-07-04 14:00:00","48.46"
"2019-07-04",,"2019-07-04 15:00:00","48.99"
"2019-07-04",,"2019-07-04 16:00:00","50.94"
"2019-07-04",,"2019-07-04 17:00:00","75.65"
"2019-07-04",,"2019-07-04 18:00:00","67.46"
"2019-07-04",,"2019-07-04 19:00:00","77.71"
"2019-07-04",,"2019-07-04 20:00:00","80.11"
"2019-07-04",,"2019-07-04 21:00:00","116.65"
"2019-07-04",,"2019-07-04 22:00:00","126.47"
"2019-07-04",,"2019-07-04 23:00:00","147.40"
"2019-07-05",,"2019-07-05 00:00:00","110.20"
"2019-07-05",,"2019-07-05 01:00:00","99.21"
"2019-07-05",,"2019-07-05 02:00:00","103.92"
"2019-07-05",,"2019-07-05 03:00:00","107.73"
"2019-07-05",,"2019-07-05 04:00:00","116.85"
"2019-07-05",,"2019-07-05 05:00:00","210.12"
"2019-07-05",,"2019-07-05 06:00:00","154.96"
"2019-07-05",,"2019-07-05 07:00:00","106.17"
"2019-07-05",,"2019-07-05 08:00:00","83.52"
"2019-07-05",,"2019-07-05 09:00:00","61.01"
"2019-07-05",,"2019-07-05 10:00:00","98.88"
"2019-07-05",,"2019-07-05 11:00:00","54.35"
"2019-07-05",,"2019-07-05 12:00:00","64.31"
"2019-07-05",,"2019-07-05 13:00:00","90.11"
"2019-07-05",,"2019-07-05 14:00:00","129.87"
"2019-07-05",,"2019-07-05 15:00:00","163.34"
"2019-07-05",,"2019-07-05 16:00:00","192.05"
"2019-07-05",,"2019-07-05 17:00:00","196.15"
"2019-07-05",,"2019-07-05 18:00:00","179.83"
"2019-07-05",,"2019-07-05 19:00:00","178.54"
"2019-07-05",,"2019-07-05 20:00:00","156.76"
"2019-07-05",,"2019-07-05 21:00:00","93.27"
"2019-07-05",,"2019-07-05 22:00:00","93.95"
"2019-07-05",,"2019-07-05 23:00:00","49.17"
"2019-07-06",,"2019-07-06 00:00:00","32.31"
"2019-07-06",,"2019-07-06 01:00:00","80.81"
"2019-07-06",,"2019-07-06 02:00:00","208.30"
"2019-07-06",,"2019-07-06 03:00:00","278.47"
"2019-07-06",,"2019-07-06 04:00:00","401.23"
"2019-07-06",,"2019-07-06 05:00:00","363.55"
"2019-07-06",,"2019-07-06 06:00:00","310.61"
"2019-07-06",,"2019-07-06 07:00:00","230.33"
"2019-07-06",,"2019-07-06 08:00:00","208.86"
"2019-07-06",,"2019-07-06 09:00:00","167.21"
"2019-07-06",,"2019-07-06 10:00:00","138.23"
"2019-07-06",,"2019-07-06 11:00:00","135.18"
"2019-07-06",,"2019-07-06 12:00:00","145.69"
"2019-07-06",,"2019-07-06 13:00:00","212.47"
"2019-07-06",,"2019-07-06 14:00:00","249.44"
"2019-07-06",,"2019-07-06 15:00:00","242.88"
"2019-07-06",,"2019-07-06 16:00:00","249.51"
"2019-07-06",,"2019-07-06 17:00:00","227.27"
"2019-07-06",,"2019-07-06 18:00:00","336.57"
"2019-07-06",,"2019-07-06 19:00:00","263.92"
"2019-07-06",,"2019-07-06 20:00:00","303.85"
"2019-07-06",,"2019-07-06 21:00:00","284.61"
"2019-07-06",,"2019-07-06 22:00:00","347.22"
"2019-07-06",,"2019-07-06 23:00:00","375.65"
"2019-07-07",,"2019-07-07 00:00:00","207.97"
"2019-07-07",,"2019-07-07 01:00:00","124.75"
"2019-07-07",,"2019-07-07 02:00:00","156.36"
"2019-07-07",,"2019-07-07 03:00:00","245.88"
"2019-07-07",,"2019-07-07 04:00:00","222.58"
"2019-07-07",,"2019-07-07 05:00:00","143.68"
"2019-07-07",,"2019-07-07 06:00:00","190.80"
"2019-07-07",,"2019-07-07 07:00:00","149.27"
"2019-07-07",,"2019-07-07 08:00:00","110.94"
"2019-07-07",,"2019-07-07 09:00:00","103.53"
